,Unnamed: 0,CreatedBy.Profile.Name,CommentBody,ParentId,CreatedDate,content.buttons
0,0,Bytel Customer Community User,Bonjour j'ai rendu mon équipement box est je n'ai toujours pas reçu l'email ou un message pour la bonne réception,5001p00003imjqKAAQ,2020-08-03T16:18:00.000Z,
1,1,Utilisateur Technique,Bonjour Je suis l’Assistant Virtuel de Bouygues Telecom.,5001p00003imjqKAAQ,2020-08-03T16:18:05.000Z,
2,2,Utilisateur Technique,Voici des liens utiles qui peuvent vous orienter pour trouver rapidement la réponse à votre demande :,5001p00003imjqKAAQ,2020-08-03T16:18:06.000Z,"[{'value': 'Problème Box/Tv', 'title': 'Problème Box/Tv'}, {'value': 'Réseau mobile', 'title': 'Réseau Mobile'}, {'value': 'Explication facture', 'title': 'Explication Facture'}, {'value': 'Continuer', 'title': 'Continuer'}]"
3,3,Bytel Customer Community User,Problème Box/Tv,5001p00003imjqKAAQ,2020-08-03T16:18:10.000Z,
4,4,Utilisateur Technique,"Très bien, quelle est la ligne concernée par votre demande ?",5001p00003imjqKAAQ,2020-08-03T16:18:12.000Z,
5,5,Bytel Customer Community User,Je n'ai pas de numéro,5001p00003imjqKAAQ,2020-08-03T16:18:29.000Z,
6,6,Utilisateur Technique,Il me faudrait le numéro de la ligne concernée pour vous répondre au mieux. Je vous écoute 😌.,5001p00003imjqKAAQ,2020-08-03T16:18:31.000Z,
7,7,Bytel Customer Community User,0625407081,5001p00003imjqKAAQ,2020-08-03T16:18:45.000Z,
8,8,Utilisateur Technique,"Très bien, afin de vous répondre au mieux, pourriez-vous me dire sur quel équipement est survenu votre problème technique ?",5001p00003imjqKAAQ,2020-08-03T16:18:50.000Z,"[{'value': 'Mon mobile', 'title': 'Mon mobile'}, {'value': 'Ma Bbox', 'title': 'Ma Bbox'}]"
9,9,Bytel Customer Community User,Ma Bbox,5001p00003imjqKAAQ,2020-08-03T16:18:56.000Z,
10,10,Utilisateur Technique,Merci pour ces informations.,5001p00003imjqKAAQ,2020-08-03T16:19:00.000Z,
11,11,Utilisateur Technique,Pouvez-vous me confirmer que votre demande concerne bien un problème technique avec votre Bbox ?,5001p00003imjqKAAQ,2020-08-03T16:19:01.000Z,"[{'value': 'Oui', 'title': 'Oui'}, {'value': 'Non', 'title': 'Non'}]"
12,12,Bytel Customer Community User,Oui,5001p00003imjqKAAQ,2020-08-03T16:19:26.000Z,
13,13,Utilisateur Technique,D'accord.,5001p00003imjqKAAQ,2020-08-03T16:19:29.000Z,
14,14,Utilisateur Technique,"Afin de vous dépanner, notre assistance sur le site peut résoudre la plupart des incidents techniques. L’avez-vous déjà fait ? ",5001p00003imjqKAAQ,2020-08-03T16:19:30.000Z,"[{'value': 'Oui', 'title': 'Oui'}, {'value': 'Non', 'title': 'Non'}]"
15,15,Bytel Customer Community User,Non,5001p00003imjqKAAQ,2020-08-03T16:20:03.000Z,
